id,text,aspect_term,aspect_category,polarity
,My friend had the New England chowder it was good but I think the price should be as high as the lobster bisque cream.,Lobster Bisque,food,positive
,You have to increase the service a lot.,service,service,negative
,The sushi is average and the prices are far from that.,prices,price,negative
,But the staff was so horrible for us.,staff,service,negative
,"The decor is dark, cool, and soothing, while the presentation of the food is spectacular given the low prices.",food's presentation,food,positive
2173,worth visiting the 1st ave spot because it is the original store.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
3126,save yourself the time and trouble and skip this one!,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
71,the pizza and wine were excellent-the service too--but what really made this place was the backyard dining area.,backyard dining area,ambience,positive
2268,my only problem is that you are literally sitting on top of the people next to you!,ambience,ambience,negative
1756,the price very reasonable.,price,price,positive
,We would go back again,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,"Wine list isn't huge, but definitely well selected.",Wine list,food,conflict
,I have eaten Thai many times and I am very familiar with the cuisine.,cuisine,anecdotes/miscellaneous,neutral
,It was divine melt in your mouth.,food,food,positive
,"From the first starters, the scallops were amazing, to the delicious chocolate souffle with raspberry and mint sorbet, we were amazed by the taste sensations.",taste,food,positive
2752,just moved to the neighborhood and we've been trying all the west village sushi restaurants.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,"When you walk in, it feels like you have stepped into your mother's kitchen.",ambience,ambience,positive
1881,enjoy!,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,We were told the wait was around twenty minutes and there would be no problem for our curtain call at 8:00 p.m.,wait,anecdotes/miscellaneous,neutral
,"Regardless of whether there are two or two hundred people in front of you, the hostess will take your name and give you five minutes.",hostess,service,positive
,"The drinks are a salvation, but the service staff, please, get over yourself.",service staff,service,negative
1551,"since it literally is a complete hole in the wall, it's a bit intimidating at first, but you get over that very quickly as soon as the friendly staff welcomes you - don't hesitate to ask for help with what to get.",staff,ambience,negative
,I've been to Nha Trang literally a hundred times for the cubes of beef - they are so good.,beef cubes,food,positive
1573,we had a good time.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,Your money could easily be better spent elsewhere (anywhere).,money,anecdotes/miscellaneous,negative
,"Try the congee and donut like a deep fried batter they call Ow Ley Soh, a delicious and sweet tasting bread.",donut like deep fried dough they call Ow Ley Soh,food,positive
,by an English speaking staff.,staff,anecdotes/miscellaneous,neutral
2606,my friend got the mushroom pizza which tasted better.,mushroom pizza,food,positive
,I don't like Indian food that much and it was delicious but you want to put that into the equation.,Indian food,food,positive
,Jimmy is Dominican!,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
186,"the ambience is pretty and nice for conversation, so a casual lunch here would probably be best.",lunch,ambience,positive
1296,they charge different prices all the time.,prices,price,negative
,"So, a bit of inconsistency, but either way, both pizzas were really good.",pizzas,food,conflict
,They serve the same menu but have creative drinks that are laden with alcohol and cheeky names - but they cost you.,drinks,price,negative
2536,despite the untasteful previous review...,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
1632,"still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...",measures of liquers,price,conflict
,This is the only Thai place I go to in New York as well. It's wonderful and I live relaxed jazz on certain nights.,Jazz,ambience,positive
,The sushi seemed pretty fresh and was adequately proportioned.,sushi,food,positive
255,my chow fun and chow see was really bland and oily.,chow fun and chow see,food,negative
,"However, I was there recently for a work lunch when my colleague from London noticed a very large water bug hanging on the ceiling.",dinner,anecdotes/miscellaneous,negative
1899,and evaluated on those terms pastis is simply wonderful.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,"The chicken pot pie is excpetiona, the cheeseburger huge and delicious, and the service professional is warm.",service,service,positive
,"Going to Ballato is like coming home and eating in my own kitchen, an absolute joy!",anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,This restaurant is a wonderful place for many times and it's inexpensive.,priced,price,positive
1119,"this wasn't the expected menu comprised only of pad thai and tom yum soup, but i thought that was what made the place so special.",tom yum soup,food,positive
,"If you have a reservation, wait a maximum of 5 minutes - so have a drink at the bar.",bar,service,positive
3091,"the puke green walls leave a lot to be desired, but the food is very good.",walls,ambience,negative
174,"as many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time.",service,service,conflict
,This is the best sushi in New York City - hands down.,sushi,food,positive
,"There is usually a wait, but it's worth it.",wait,anecdotes/miscellaneous,conflict
2393,regardless of whether there are two people or two hundred people ahead of you the hostess will take your name and tell you five minutes.,hostess,service,positive
2716,they also do a great job for restaurant week.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,We picked it at random with no recommendation from anyone who was there so we weren't sure what to expect.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,We were greeted pleasantly.,service,service,positive
,"The real kicker of the menu, however, are the beef cubes or the chicken with chilli and lemongrass.",chicken with chili and lemon grass,food,positive
1303,there are much better places in ny with better prices.,prices,price,negative
,My husband and I enjoyed each of the 6 flavor size servings and left them full.,portions,food,positive
733,"in such a crappy part of town to find a good value for lunch, this place is great.",lunch,anecdotes/miscellaneous,positive
,I stayed here last night and had a pleasant experience.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,Please don't fool us.,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
,a big disappointment.,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
3156,"don't expect to sit down inside though, there are only a few tables and they are always full.",tables,ambience,negative
1116,the zucchini and mashed potatoes are a blend of garlic and butter which simply melts in your mouth.,butter,food,positive
,The food was absolutely awful!,food,food,negative
275,raga stands out with an interesting fusion of french and indian cooking.,fusion of French and Indian cooking,food,positive
,"In any case, I will never patronize them again.",anecdotes/miscellaneous,anecdotes/miscellaneous,negative
,I found the variety of the sashimi platter satisfactory - fresh and tasty.,sashimi plate,food,positive
,"Mai, the owner always smiles and gives you a warm welcome.",owner,service,positive
,"By far, this is the only Chinese dessert place I know in New York, or anywhere close by in Northeast America, that serves desserts made with frog jelly of a variety of flavors and pork foot ginger cooked in black vinegar.",desserts with frog jelly,food,positive
,The prices are the same.,Prices,price,neutral
1722,"the wait staff is pleasant, fun, and for the most part gorgeous (in the wonderful aesthetic beautification way, not in that she's-way-cuter-than-me-that-b@#$* way).",wait staff,service,positive
1088,"the dosas are skimpy, unattractive and drip with grease, and personally i'd drink popcorn topping before i'd eat another one of these.",popcorn topping,food,negative
,Service and food is what you would expect when you are spending this type of money.,food,service,neutral
726,big thumbs up!,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
1778,"the atmosphere is nothing special, but it feels like a sushi establishment in tokyo.",atmosphere,ambience,neutral
,"I recommended the place to friends, always gets good feedback.",anecdotes/miscellaneous,anecdotes/miscellaneous,positive
349,nice value.,price,price,positive
1242,but the coconut rice was good.,coconut rice,food,positive
411,"they kindly brought us more to see if it was better, but it was not!",food,food,negative
,For starters I recommend the crab donuts and dumplings.,dumplings,food,positive
624,you will not be disapointed at all.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,Listen.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,someone else recommended the dessert - we left that too.,dessert,food,negative
,"When we notified him that he didn't mention the specials, he didn't apologize, but let us know that we still made a very good decision.",specials,service,negative
,"As a fan of Thai, I've tried a few different restaurants in New York and this one was definitely the worst.",anecdotes/miscellaneous,anecdotes/miscellaneous,negative
35,so rude.,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
2961,"fresh, authentic, french cuisine in substantial portions.",portions,food,positive
1891,"the food was really good, i had the onion soup and it was one of the best ever.",onion soup,food,positive
3551,be careful before you request extra spice.,spice,food,neutral
,I've been doing all of this at Heartland Brewery for over 5 years and I have never been disappointed!,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
879,bon appettite!!,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
2800,highly recommended.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,"Good atmosphere, the combination of the hottest dress codes for music is relatively strict, except on Fridays.",dress cod,ambience,positive
460,i was pleasantly surprised to find this gem in hoboken.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
1586,the food portions are really large.,FOOD PORTIONS,food,positive
,"Although we were looking for regular salad and some walnuts, the salads we got were great.",walnuts,food,positive
3183,"i've eaten thai many times, and am very familiar with the cuisine.",cuisine,anecdotes/miscellaneous,neutral
3495,was surprisingly disappointed.,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
,The food was ok - fish was well cooked.,fish,food,positive
,You are in the middle of Chinatown!,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,is exactly how it used to be.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
1055,great bagels made the old-fashioned way.,bagels,food,positive
946,"we only ordered desserts and drinks, but no refills were offered.",drinks,service,negative
,I have never eaten 40 pieces of relatively good nigiri before.,nigiri,anecdotes/miscellaneous,neutral
,They treated us well and the food was very fresh and well prepared.,food,service,positive
3581,my son and his girlfriend both wanted cheeseburgers and they were huge!,cheeseburgers,food,positive
,"Overall, the restaurant is more expensive than our other sushi favorites, but everything was delicious.",sushi,price,negative
,This is a fun restaurant.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
2958,"it is sometimes a little cramped, and can get a little warm, but hello, it's nyc!",ambience,ambience,conflict
3266,"if you are someone who appreciates simplicity, elegance, and wonderfully presented and tasting seafood and vegetables regardless of portion size, kai is your place.",portion size,food,conflict
,I was there on Saturday.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,"The food is okay - some things are good - some not (like the steak dish, which is rather dry).",steak dish,food,conflict
,I had the best ravioli ever.,ravioli,food,positive
686,i've been there three times and have always had wonderful experiences.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
1893,the fries are yummy.,fries,food,positive
,We all felt it was worth it.,price,price,positive
,You feel like the people there care about your restaurant and experience and that is very nice.,people,service,positive
,I fell in love with Pongsri on the 48th but slow in service and overpriced compared to Suan.,service,price,negative
,just a strange group.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,Our tiny table for two (plates hung over the edge) was in the middle of one of the alleys of waiter traffic.,dinner plates,ambience,negative
2705,big and gawky on the outside.,ambience,ambience,negative
,I had pizza both times and the caprese salad starter.,caprese salad appetizer,anecdotes/miscellaneous,neutral
3354,"it was good, but was not what i thought it would be.",anecdotes/miscellaneous,anecdotes/miscellaneous,conflict
,I'm glad I got to know this place and this is a rare gem in New York.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,You have to increase the service a lot.,service,service,negative
,"Mai, the owner is always smiling and will give you a warm welcome.",owner,service,positive
,"The room is a little too small for live music, so it can get loud and cramped on jazz nights.",jazz nights,ambience,negative
274,"off the beaten path, this jewel of a restaurant shines just one block away from the plethora of 6th street indian restaurants.",anecdotes/miscellaneous,anecdotes/miscellaneous,positive
2355,the octopus eaters were floored by the octopus salad.,Octopus salad,food,positive
1734,service is average.,Service,service,neutral
500,look foward to trying the ruben upon returning.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,Add a delicious and perfect slice of tiramisu to the meal.,meal,food,positive
3493,"ambience is delightful, service impeccable.",service,ambience,positive
2088,decor leaves something to be desired.,Decor,ambience,negative
2520,this place is amazingly bad.,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
,"It took us half an hour to get our check which was perfect as we could sit, have a drink and talk!",check,service,conflict
1908,the restaraurant is very small so reservations are a must.,reservations,anecdotes/miscellaneous,neutral
,"University of Maine vs. California, Sea vs. Freshwater Eel) to get a good taste comparison.",eel,anecdotes/miscellaneous,neutral
,The brick oven gallery is my pick for the best pizza restaurant ever.,pizza,anecdotes/miscellaneous,positive
,"All in all a wonderful experience, can't wait to come back.",anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,Well worth checking out 1st Ave Spot as it is the original store.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,and the prices were way too high for what you get.,prices,price,negative
,Definitely a place I'll be sure to stop by again when in this part of town.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
2648,the food is tasty and portion sizes are appropriate.,portion sizes,food,positive
1616,"we didn't even see a menu, as our waiter described both the specials and the main dishes.",specials,service,positive
801,every course was better than the next.,course,food,positive
1556,"the one up front will smile and say what can i get for you, brother?",service,service,neutral
2495,"this place, however, has a lot less pretension than joya and the thai food is still above-average.",Thai food,ambience,positive
,The whole place and the treatment we received felt like a conveyor belt.,place,ambience,negative
1238,"so, again, give it a try.",anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,The environment is casual and romantic.,setting,ambience,positive
,I'm just trying to say this restaurant is by far the best Thai restaurant I've ever been to.,thai food,anecdotes/miscellaneous,positive
,"The food was average and the creme brulee awful - the sugar was charred, not caramelized, and smelled like kerosene.",sugar,food,negative
,We had a 3 hour brunch - they definitely don't rush you - and they let the unlimited mimosas flow all the time.,mimosas,service,positive
931,it took them 15 minutes to put water in our glasses.,water,service,negative
,the food was great.,food,food,positive
3588,people are rude bit again it's new york!,people,service,conflict
,Did I mention the wine?,wine,food,neutral
,"When I go out for dinner, I like a nice atmosphere and very good food.",food,anecdotes/miscellaneous,neutral
2555,"service is friendly, prices are good - delivery time was a little slow, but for the way this pizza tastes, i'm willing to overlook it.",pizza,food,positive
2723,"go there on an empty stomach and leave feeling like a baby veal calf(ok bad joke), but you will see.",anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,"It was nice and fresh, but I can't rate it well when I'm authentically Thai.",thai,food,conflict
,Can't wait to go back.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
2512,"good music, great food, speedy service affordable prices.",prices,price,positive
1300,i went to amma after a friend recommended it.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,it is thick and slightly damp.,food,food,negative
,We went to eat at the Jekyll and Hyde restaurant on Friday night and enjoyed the fun atmosphere and good food.,food,ambience,positive
,It was raining and we thought why not?,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,do not go,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
1401,a hearty two thumbs up!,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,I can't think of a friendlier staff working in a restaurant.,staff,service,positive
2944,we've been to grocery three times and not once has an item on the menu disappointed.,menu,food,positive
2158,ess-a-bagel (either by sty-town or midtown) is by far the best bagel in ny.,bagel,food,positive
,"They sell special sushi, everything has a topping, sauce and etc.",topping,food,positive
457,i'd call it an 'italian dinner'.,dinner,anecdotes/miscellaneous,neutral
1560,and its absolutely delicious.,food,food,positive
1400,i love this place!,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,would never go there again.,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
,The fish was sufficient but improperly cut.,fish,food,conflict
176,this place is great.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,Overall I would recommend and stay here again.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
94,"excellent atmosphere, delicious dishes good and friendly service.",service,ambience,positive
1839,food is great and inexpensive.,Food,price,positive
,The service is very refined: our seats were moved 35 minutes after our reservation and the maitre d 'apologized and kept us regularly informed of the progress.,reservation,service,positive
2980,i'm not picky - but it was actually gross.,food,food,negative
,I would recommend this hotel as a good hangout if you don't want to lose a lot of money.,price,price,positive
1654,we come from new jersey to eat at kinoko.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
1021,i usually go there later at night when i get off work so i don't have to deal with crowds or lines.,crowds,anecdotes/miscellaneous,neutral
2157,"growing up in ny, i have eaten my share of bagels.",bagels,anecdotes/miscellaneous,neutral
1338,"bottom line: b+ for the food, f for the service.",service,service,negative
,"Grilled cod was deliciously moist - like poached - and yet the fabulous texture was let down by the strangely mild spice - a spice massage could have been overwhelming, but herbal mix or other sauce would have done a lot to improve it.",sauce,food,conflict
,The flavorful tuna and salmon are the best we've ever had.,salmon,food,positive
,Visited this restaurant for lunch recently with some colleagues and had a great time.,lunch,anecdotes/miscellaneous,positive
2012,"while we thoroughly enjoyed the food, it was annoying to scream across the table for conversation.",food,food,positive
1977,"forget the rush and the wait and the noise (which isn't actually that bad), i mean please, who goes to a steakhouse to be coddled and romantic?",rush,ambience,conflict
299,the service is outstanding and my crab-cake eggs benedict could not have been better.,crab-cake eggs benedict,service,positive
2601,you will find yourself returning quite often.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,Lahore is a great place to duck into the late night when you need really tasty food at great prices - you will likely have trouble finishing the amount of food you get for four dollars.,food,price,positive
1328,"also, the hostess called me today to thank us for coming and mentioned how she hoped that my girlfriend enjoyed her birthday - unexpected, but a truly above and beyond thing to do...",hostess,service,positive
480,the waitresses are nice--also you can just get counter service sit.,counter service,service,positive
1536,get the soup and a nosh (pastrami sandwich) for $8 and you're golden.,nosh (pastrami sandwich),price,positive
496,"being from the south, there aren't any good delis in my area and while watching foods across america on pbs i found out about katz's deli.",anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
809,would have rather tried terrace in the sky or water club for that price,price,price,negative
,"Worse, $ 60 was incorrectly added to our $ 80 bill.",bill,service,negative
837,why do people rave about the ambience.,ambience,ambience,negative
,The food is ok and the prices here are mediocre.,prices,price,neutral
428,"in an area sadly lacking in decent thai food, this is one of the best spots.",Thai food,food,positive
662,i always get the shabu-shabu dinner and the beef is always fresh.,beef,food,positive
,I asked for an open cheese sandwich and the manager basically told me to move my business elsewhere!,open faced cheese sandwich,service,negative
,The service is quick and friendly.,Service,service,positive
,"The puke green walls leave a lot to be desired, but the food is very good.",walls,ambience,negative
395,the sake menu should not be overlooked!,sake menu,food,positive
,"Slightly above average wines start at over $ 70, with only a selection listed above $ 30.",wines,price,negative
,Fish was over the top.,Fish,food,negative
,It was my first time eating here and absolutely loved it!,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
2649,this is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,dinner meeting,anecdotes/miscellaneous,positive
1889,i loved it.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,The view is spectacular and the food is great.,food,ambience,positive
3576,our friends have not arrived yet.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,The sushi seemed pretty fresh and was adequately proportioned.,sushi,food,positive
936,they never came back to refill our glasses again.,service,service,negative
,"Service is friendly, prices are good - delivery time was a little slow, but for the taste of this pizza, I'm willing to overlook it.",pizza,food,positive
622,"please take my advice, go and try this place.",anecdotes/miscellaneous,anecdotes/miscellaneous,positive
3122,the hostess and the waitress were incredibly rude and did everything they could to rush us out.,waitress,service,negative
,"If you're someone who appreciates the same things but is hoping to have something to eat or share, Kai may not be your best option.",food,food,neutral
,Faan is sooo good.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,Just do not.,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
3239,"because we didn't have a reservation, we could only sit in the back garden, but it was great, secluded and perfect in nice weather.",reservation,ambience,positive
,authentic bistro!,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
867,i loved it and would go again.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
1805,"i have eaten here a handful of times, for no reason besides sheer convenience.",anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
1872,"thalia is a beautiful restaurant with beautiful people serving you, but the food doesn't quite match up.",food,service,positive
1567,the place is a lot of fun.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
472,"after complaining about the chicken dish, the manager came over to tell us that, no one had ever complained before, and that we just didn't know what the dish was supposed to taste like.",dish,food,negative
,Save yourself the time and effort and skip this one!,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
1967,i have lived in ny for many years and have dined at many restaraunts.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,"A word to the wise, the Hoboken Health Inspector brought my attention to his finding that this is the cleanest restaurant in town.",ambience,ambience,positive
1407,the seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,ambience,negative
,Just do not.,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
,"After dinner, take your date to the huge dance floor, probably one of the largest you'll see in New York.",dinner,ambience,positive
2651,"we arrived for dinner expecting to be impressed by a place that has an impressive past - but, that's just it -- the past!",dinner,anecdotes/miscellaneous,negative
1126,but i wouldn't wanna live there.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,I live nearby and when they first opened I ate a lot there.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,There's something smooth about sipping Upper East Side style sake.,sake,anecdotes/miscellaneous,positive
,I am glad to be a regular at this place and can only recommend it to everyone.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
135,"and it all comes at a very reasonable price (congee, noodles, and rice dishes are no more than $3-6 each).",rice dishes,price,positive
,During the meal the management came over and checked us in and even bought us a round of drinks.,round of drinks,service,positive
246,yeah shanghai is also great but not quite as good -- they use the same amount of salt but without sweetness to balance out.,salt,food,neutral
344,don't be fooled by crowds of people.,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
,The service is fantastic.,service,service,positive
1765,lloovve this place.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
2384,the fried rice is amazing here.,fried rice,food,positive
,The staff is very attentive and we can almost always get a table.,table,service,positive
,"This is a cute place and could be good, but you have to pull yourself together.",place,ambience,positive
3514,never again!,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
1473,the pizza is overpriced and soggy.,pizza,price,positive
,"Of course it's full, but who cares?",ambience,ambience,conflict
2671,"great roofdeck, nice group of 30 somethings, but no music, kind of quiet.",music,ambience,conflict
850,"at 6:30, we were the third party there.",anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
518,"a very inviting restaurant, with friendly service.",service,ambience,positive
,Do yourself a favor and walk the extra avenue from Joe's to eat here.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,Overall I would recommend and stay here again.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,I absolutely loved this place.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
,This Thai restaurant is a couple of blocks from Sripraphai (another delicious Thai restaurant).,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
340,the rice was poor quality and was cooked so badly it was hard.,cooked,food,negative
1619,"they brought glasses and the bottle, and just left the bottle at our table.",service,service,negative
,This is the best sushi in New York City - hands down.,sushi,food,positive
2216,"i wasn't thrilled to have to wait on line for thirty minutes, but i guess that's the price you pay for a popular place.",wait,anecdotes/miscellaneous,neutral
1282,open late (well as late as i ever got there and i'm a night person),anecdotes/miscellaneous,anecdotes/miscellaneous,positive
1209,"outstanding bagels, but you get what you pay for.",Bagels,price,negative
254,this restaurant was way overhyped.,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
,I had the pad thai and the noodles were sticky.,noodles,food,negative
,Recommendations are of course required!,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
2038,the food was boring and expensive.,food,price,negative
,"They are tasty, but I suggest eating only one with meat because they tend not to go well with the average American digestive system.",meat,food,conflict
,I can't think of a friendlier staff working in a restaurant.,staff,service,positive
,"Anyway, if you are in the neighborhood for good food I would not waste my time finding something but walk across the street to Tamari.",food,food,negative
3218,will never be back.,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
1968,i went to df for valentines day dinner.,Valentines Day dinner,anecdotes/miscellaneous,neutral
2974,"the steak tartare is a great bet, they fix it for you at the table.",Steak Tartare,food,positive
316,there was a great deal for 6 blue point oysters and a beer or glass of wine for $8!,glass of wine,price,positive
,"$ 6 plus lots of delicious food, all fresh and constantly refilled.",food,price,positive
327,"great idea and base for restaurant, but work on the details, people who think this was good need to go back to the shore towns and rethink what it should have tasted like.",anecdotes/miscellaneous,anecdotes/miscellaneous,conflict
,The sea has become so popular that they let it go into their heads.,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
2845,this was one of the best restaurants i've ever been to.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
3061,you could get a much better dining experience for the same amount of money in a lot of other french bistros.,anecdotes/miscellaneous,anecdotes/miscellaneous,negative
,during happy hour!,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,Stay with the Gulab Jamun.,gulab jamun,food,positive
2137,"the chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",service,service,positive
,Our tiny table for two (plates hung over the edge) was in the middle of one of the alleys of waiter traffic.,dinner plates,ambience,negative
,Can't wait to go back.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
1312,the two star chefs left quite some time ago to open their own place.,chefs,anecdotes/miscellaneous,neutral
639,want to impress?,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
2214,i came into the city to try out this restaurant because a friend had recommended it to my husband.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
,You can do it here.,anecdotes/miscellaneous,anecdotes/miscellaneous,neutral
603,the service was attentive and her suggestions of menu items was right on the mark.,menu items,service,positive
3234,we go on mondays for the prix fixe and our experience with the food has been comparable to blue ribbon.,prix fixe,food,neutral
1564,people are always friendly.,People,service,positive
,But the staff was so horrible for us.,staff,service,negative
2600,i highly recommend to anyone to give this place a try.,anecdotes/miscellaneous,anecdotes/miscellaneous,positive
78,"over the years the host, vittorio, and his crew, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor.",host,service,positive
3494,went to ottimo and was expecting outstanding pizza (as i love la pizza fresca).,pizza,anecdotes/miscellaneous,neutral
324,"whem asked, we had to ask more detailed questions so that we knew what the specials were.",specials,service,negative
